formula,problem,target_noise,predicted_tree,predicted_tree_prefix,refinement_type,time,relabed_predicted_tree,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,input_dimension,num_evals
???,strogatz_bacres1,0,(((0.017180657348995747 add (-0.0029132928769926153 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))) mul ((90.0112184896753 add (-111.21274941381833 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1)))) add (0.013218491453377728 add (33.67397339301967 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))))) sub (0.9061353023062365 add (1.5713262809380115 mul (-6.57270992203568 add (0.47561917438268325 mul x_0))))),"sub,mul,add,0.017180657348995747,mul,-0.0029132928769926153,add,-6.57270992203568,mul,0.47561917438268325,x_0,add,add,90.0112184896753,mul,-111.21274941381833,add,-2.9209836654597594,mul,0.07553997603322433,x_1,add,0.013218491453377728,mul,33.67397339301967,add,-6.57270992203568,mul,0.47561917438268325,x_0,add,0.9061353023062365,mul,1.5713262809380115,add,-6.57270992203568,mul,0.47561917438268325,x_0",BFGS,64.01871538,(((0.017180657348995747 add (-0.0029132928769926153 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))) mul ((90.0112184896753 add (-111.21274941381833 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1)))) add (0.013218491453377728 add (33.67397339301967 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))))) sub (0.9061353023062365 add (1.5713262809380115 mul (-6.57270992203568 add (0.47561917438268325 mul x_0))))),0.999821503,0,0,0,1,39,0.997268002,0,0,0,1,39,2,81
???,strogatz_bacres2,0,(9.45738033293201 add ((0.557380332935297 add (-0.003771655143317762 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))) add ((-0.007689532853833355 add (1.6145840315286593 mul inv((6.920640661808812 add (-6.57270992203568 add (0.47561917438268325 mul x_0)))))) mul (-24.617839644139277 add (-8.402525922143194 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1))))))),"add,9.45738033293201,add,add,0.557380332935297,mul,-0.003771655143317762,add,-6.57270992203568,mul,0.47561917438268325,x_0,mul,add,-0.007689532853833355,mul,1.6145840315286593,inv,add,6.920640661808812,add,-6.57270992203568,mul,0.47561917438268325,x_0,add,-24.617839644139277,mul,-8.402525922143194,add,-2.9209836654597594,mul,0.07553997603322433,x_1",BFGS,59.96097279,(9.45738033293201 add ((0.557380332935297 add (-0.003771655143317762 mul (-6.57270992203568 add (0.47561917438268325 mul x_0)))) add ((-0.007689532853833355 add (1.6145840315286593 mul inv((6.920640661808812 add (-6.57270992203568 add (0.47561917438268325 mul x_0)))))) mul (-24.617839644139277 add (-8.402525922143194 mul (-2.9209836654597594 add (0.07553997603322433 mul x_1))))))),0.999999694,1,0,1,1,34,0.999908592,1,0,1,1,34,2,79
???,strogatz_barmag1,0,(((((0.6323090519386131 add (((0.9694103700585655 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))) add (3.9616948460640375 add (-0.2552833636366151 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) mul (-0.11135760336594644 add (1.1689735221579793 mul inv((-1.0358416113118394 add (-0.21004080612927306 mul (((-0.20471416691676145 add (-0.19547658675252794 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))) add (-0.0947141675340807 add (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))**3))))))) mul ((1.24232945339732 add (-0.32883324243157547 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))) mul (0.9241507414976031 add (-0.04816703595324029 mul inv((0.07043458055193508 add (0.0033892022830751198 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))))))))) sub (0.11604168236802934 add (-0.05787472252474993 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))))) mul (-2.1558841769067056 add (-0.2603714390163839 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) sub (2.7054815576404163 add (0.07123795520605836 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))))),"sub,mul,sub,mul,add,0.6323090519386131,mul,add,mul,0.9694103700585655,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,3.9616948460640375,mul,-0.2552833636366151,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,-0.11135760336594644,mul,1.1689735221579793,inv,add,-1.0358416113118394,mul,-0.21004080612927306,pow3,add,add,-0.20471416691676145,mul,-0.19547658675252794,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,-0.0947141675340807,add,-0.7814648671307372,mul,0.39259884293192854,x_1,mul,add,1.24232945339732,mul,-0.32883324243157547,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,0.9241507414976031,mul,-0.04816703595324029,inv,add,0.07043458055193508,mul,0.0033892022830751198,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,0.11604168236802934,mul,-0.05787472252474993,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,-2.1558841769067056,mul,-0.2603714390163839,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,2.7054815576404163,mul,0.07123795520605836,add,-0.7814648671307372,mul,0.39259884293192854,x_1",BFGS,664.5857139,(((((0.6323090519386131 add (((0.9694103700585655 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))) add (3.9616948460640375 add (-0.2552833636366151 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) mul (-0.11135760336594644 add (1.1689735221579793 mul inv((-1.0358416113118394 add (-0.21004080612927306 mul (((-0.20471416691676145 add (-0.19547658675252794 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))) add (-0.0947141675340807 add (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))**3))))))) mul ((1.24232945339732 add (-0.32883324243157547 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))) mul (0.9241507414976031 add (-0.04816703595324029 mul inv((0.07043458055193508 add (0.0033892022830751198 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))))))))) sub (0.11604168236802934 add (-0.05787472252474993 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))))) mul (-2.1558841769067056 add (-0.2603714390163839 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) sub (2.7054815576404163 add (0.07123795520605836 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1))))),0.998613608,0,0,0,0,102,0.998884399,0,0,0,0,102,2,250
???,strogatz_barmag2,0,((0.003491807470690743 add (-0.0031542467361377557 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))) mul ((((-0.09380033167779618 mul inv((-0.042301096424698294 add (8.885385544593781e-06 mul (((-23.494374516377206 add (4.862219550150717 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) sub (23.595374518500595 add (14.818777941964644 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))))**2)))) mul (-25.093013918458915 add (-40.58316776572812 mul sin((1.3142179538131291 add (2.753767653588982 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))))) add (22.78723742632775 add (10.133162190735574 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) add (42.81723742313134 add (22.76622540890873 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))),"mul,add,0.003491807470690743,mul,-0.0031542467361377557,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,add,mul,mul,-0.09380033167779618,inv,add,-0.042301096424698294,mul,8.885385544593781e-06,pow2,sub,add,-23.494374516377206,mul,4.862219550150717,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,23.595374518500595,mul,14.818777941964644,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,-25.093013918458915,mul,-40.58316776572812,sin,add,1.3142179538131291,mul,2.753767653588982,add,-0.7814648671307372,mul,0.39259884293192854,x_1,add,22.78723742632775,mul,10.133162190735574,add,-13.862280500998375,mul,2.4571995904831536,x_0,add,42.81723742313134,mul,22.76622540890873,add,-0.7814648671307372,mul,0.39259884293192854,x_1",BFGS,538.6650255,((0.003491807470690743 add (-0.0031542467361377557 mul (-13.862280500998375 add (2.4571995904831536 mul x_0)))) mul ((((-0.09380033167779618 mul inv((-0.042301096424698294 add (8.885385544593781e-06 mul (((-23.494374516377206 add (4.862219550150717 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))) sub (23.595374518500595 add (14.818777941964644 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))))**2)))) mul (-25.093013918458915 add (-40.58316776572812 mul sin((1.3142179538131291 add (2.753767653588982 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))))) add (22.78723742632775 add (10.133162190735574 mul (-13.862280500998375 add (2.4571995904831536 mul x_0))))) add (42.81723742313134 add (22.76622540890873 mul (-0.7814648671307372 add (0.39259884293192854 mul x_1)))))),0.998318417,0,0,0,0,72,0.996225912,0,0,0,0,72,2,185
???,strogatz_glider1,0,(((0.041163915014334695 add (0.016689332243008663 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0)))) mul (-5.882479139092046 add (-3.601659340770168 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))))) sub (0.010441546306150016 add (-0.9999990114917777 mul cos((34.83027828754543 add (-7.176842262282817 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1)))))))),"sub,mul,add,0.041163915014334695,mul,0.016689332243008663,add,-2.0499339095728217,mul,0.9120493798087249,x_0,add,-5.882479139092046,mul,-3.601659340770168,add,-2.0499339095728217,mul,0.9120493798087249,x_0,add,0.010441546306150016,mul,-0.9999990114917777,cos,add,34.83027828754543,mul,-7.176842262282817,add,-1.9318255908811444,mul,0.1393370535564696,x_1",BFGS,138.3365009,(((0.041163915014334695 add (0.016689332243008663 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0)))) mul (-5.882479139092046 add (-3.601659340770168 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))))) sub (0.010441546306150016 add (-0.9999990114917777 mul cos((34.83027828754543 add (-7.176842262282817 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1)))))))),1,1,1,1,1,34,1,1,1,1,1,34,2,79
???,strogatz_glider2,0,(((0.9901299249422233 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))) add (0.08730527639056299 add (0.5281070622329311 mul sin((5.992336438532658 add (7.186587389497652 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1)))))))) add (2.288305276390565 add (-0.020064443358453855 mul inv((0.8284628769913125 add (0.4388706900905068 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0)))))))),"add,add,mul,0.9901299249422233,add,-2.0499339095728217,mul,0.9120493798087249,x_0,add,0.08730527639056299,mul,0.5281070622329311,sin,add,5.992336438532658,mul,7.186587389497652,add,-1.9318255908811444,mul,0.1393370535564696,x_1,add,2.288305276390565,mul,-0.020064443358453855,inv,add,0.8284628769913125,mul,0.4388706900905068,add,-2.0499339095728217,mul,0.9120493798087249,x_0",BFGS,190.0290952,(((0.9901299249422233 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0))) add (0.08730527639056299 add (0.5281070622329311 mul sin((5.992336438532658 add (7.186587389497652 mul (-1.9318255908811444 add (0.1393370535564696 mul x_1)))))))) add (2.288305276390565 add (-0.020064443358453855 mul inv((0.8284628769913125 add (0.4388706900905068 mul (-2.0499339095728217 add (0.9120493798087249 mul x_0)))))))),0.945398928,0,0,0,0,37,0.564021895,0,0,0,0,37,2,89
???,strogatz_lv1,0,((((0.014216440071744604 add (0.02156118870315927 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0)))) sub (-0.01421643949762846 add (-0.045210684745395725 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1))))) sub (0.005783559704075237 add (-0.012561186441301875 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0))))) mul (690.9727535565139 add (-0.1062920929535653 mul (((-45.52141422670321 add (-0.11785775493175438 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) add (-36.501413859082184 add (-2.2995170831601413 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0))))))**2))),"mul,sub,sub,add,0.014216440071744604,mul,0.02156118870315927,add,-0.6384378417199078,mul,0.8192860303268586,x_0,add,-0.01421643949762846,mul,-0.045210684745395725,add,-1.8787597109913827,mul,1.2747367038684159,x_1,add,0.005783559704075237,mul,-0.012561186441301875,add,-0.6384378417199078,mul,0.8192860303268586,x_0,add,690.9727535565139,mul,-0.1062920929535653,pow2,add,add,-45.52141422670321,mul,-0.11785775493175438,add,-1.8787597109913827,mul,1.2747367038684159,x_1,add,-36.501413859082184,mul,-2.2995170831601413,add,-0.6384378417199078,mul,0.8192860303268586,x_0",BFGS,305.0815437,((((0.014216440071744604 add (0.02156118870315927 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0)))) sub (-0.01421643949762846 add (-0.045210684745395725 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1))))) sub (0.005783559704075237 add (-0.012561186441301875 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0))))) mul (690.9727535565139 add (-0.1062920929535653 mul (((-45.52141422670321 add (-0.11785775493175438 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1)))) add (-36.501413859082184 add (-2.2995170831601413 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0))))))**2))),0.999970184,0,0,0,0,54,0.996557941,0,0,0,0,54,2,119
???,strogatz_lv2,0,((((0.15468172054713128 add (-0.6384378417199078 add (0.8192860303268586 mul x_0))) sub (-0.05268172054736177 add (-0.6427099995292341 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1))))) mul (12.035493726862825 add (-1.1858809539986194e-11 mul ((-13.484114507089222 add (90.00448040716772 mul sin((3.9727647230505987 add (59.526265402868994 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0))))))))**2))) mul (-0.14946905559665116 add (-0.07955730328427166 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1))))),"mul,mul,sub,add,0.15468172054713128,add,-0.6384378417199078,mul,0.8192860303268586,x_0,add,-0.05268172054736177,mul,-0.6427099995292341,add,-1.8787597109913827,mul,1.2747367038684159,x_1,add,12.035493726862825,mul,-1.1858809539986194e-11,pow2,add,-13.484114507089222,mul,90.00448040716772,sin,add,3.9727647230505987,mul,59.526265402868994,add,-0.6384378417199078,mul,0.8192860303268586,x_0,add,-0.14946905559665116,mul,-0.07955730328427166,add,-1.8787597109913827,mul,1.2747367038684159,x_1",BFGS,243.0051703,((((0.15468172054713128 add (-0.6384378417199078 add (0.8192860303268586 mul x_0))) sub (-0.05268172054736177 add (-0.6427099995292341 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1))))) mul (12.035493726862825 add (-1.1858809539986194e-11 mul ((-13.484114507089222 add (90.00448040716772 mul sin((3.9727647230505987 add (59.526265402868994 mul (-0.6384378417199078 add (0.8192860303268586 mul x_0))))))))**2))) mul (-0.14946905559665116 add (-0.07955730328427166 mul (-1.8787597109913827 add (1.2747367038684159 mul x_1))))),1,1,1,1,1,47,1,1,1,1,1,47,2,109
???,strogatz_predprey1,0,((9.31346876669378 add (7.215001623148909 mul arctan((-2.5961573114807126 add (-0.8168214252377938 add (0.8665825418917138 mul x_0)))))) mul ((((1.5899369530278638 add (-0.8168214252377938 add (0.8665825418917138 mul x_0))) sub ((0.0035064122251427707 add (0.04912992901442864 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))) mul (99.18887197636487 add (-19.235015975060335 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))))) mul (0.2903988329495021 add (-0.20028125782318032 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0))))) add (0.027076509879404843 add (-0.6162612793492394 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))))),"mul,add,9.31346876669378,mul,7.215001623148909,arctan,add,-2.5961573114807126,add,-0.8168214252377938,mul,0.8665825418917138,x_0,add,mul,sub,add,1.5899369530278638,add,-0.8168214252377938,mul,0.8665825418917138,x_0,mul,add,0.0035064122251427707,mul,0.04912992901442864,add,-1.9055441375108872,mul,0.38730634142297116,x_1,add,99.18887197636487,mul,-19.235015975060335,add,-1.9055441375108872,mul,0.38730634142297116,x_1,add,0.2903988329495021,mul,-0.20028125782318032,add,-0.8168214252377938,mul,0.8665825418917138,x_0,add,0.027076509879404843,mul,-0.6162612793492394,add,-1.9055441375108872,mul,0.38730634142297116,x_1",BFGS,274.8934164,((9.31346876669378 add (7.215001623148909 mul arctan((-2.5961573114807126 add (-0.8168214252377938 add (0.8665825418917138 mul x_0)))))) mul ((((1.5899369530278638 add (-0.8168214252377938 add (0.8665825418917138 mul x_0))) sub ((0.0035064122251427707 add (0.04912992901442864 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))) mul (99.18887197636487 add (-19.235015975060335 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))))) mul (0.2903988329495021 add (-0.20028125782318032 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0))))) add (0.027076509879404843 add (-0.6162612793492394 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))))),0.993465794,0,0,0,0,60,0.997731193,0,0,0,0,60,2,123
???,strogatz_predprey2,0,(((0.06737843675947451 add (0.03535019374783464 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))) mul ((3.772774152795852 add (0.00030980070453209005 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0)))) mul (-5.597739446618574 add (-90.1195603878297 mul arctan((-9.093242445831706 add (-5.489593512612635 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0))))))))) sub ((-0.9916916981270176 add (-0.030018386007309102 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))) mul (-31.744197153435746 add (-16.654465298187013 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))))),"sub,mul,add,0.06737843675947451,mul,0.03535019374783464,add,-1.9055441375108872,mul,0.38730634142297116,x_1,mul,add,3.772774152795852,mul,0.00030980070453209005,add,-0.8168214252377938,mul,0.8665825418917138,x_0,add,-5.597739446618574,mul,-90.1195603878297,arctan,add,-9.093242445831706,mul,-5.489593512612635,add,-0.8168214252377938,mul,0.8665825418917138,x_0,mul,add,-0.9916916981270176,mul,-0.030018386007309102,add,-1.9055441375108872,mul,0.38730634142297116,x_1,add,-31.744197153435746,mul,-16.654465298187013,add,-1.9055441375108872,mul,0.38730634142297116,x_1",BFGS,303.8333535,(((0.06737843675947451 add (0.03535019374783464 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))) mul ((3.772774152795852 add (0.00030980070453209005 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0)))) mul (-5.597739446618574 add (-90.1195603878297 mul arctan((-9.093242445831706 add (-5.489593512612635 mul (-0.8168214252377938 add (0.8665825418917138 mul x_0))))))))) sub ((-0.9916916981270176 add (-0.030018386007309102 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))) mul (-31.744197153435746 add (-16.654465298187013 mul (-1.9055441375108872 add (0.38730634142297116 mul x_1)))))),0.999999914,1,0,1,1,54,0.999999857,1,0,1,1,54,2,119
